# from: 05c_convergence/thickness_7plane/perfect_unrelaxed.xsf
# nat  = 68
# ntyp = 3  (Br, Cs, Pb)

CELL_PARAMETERS angstrom
11.8714060826 0.0000000000 0.0000000000
0.0000000000 11.8714060826 0.0000000000
0.0000000000 0.0000000000 33.8071091239

ATOMIC_POSITIONS angstrom
Cs 0.0000000000 0.0000000000 8.0000000000
Pb 2.9678515206 2.9678515206 10.9678515206
Br 0.0000000000 2.9678515206 10.9678515206
Br 2.9678515206 0.0000000000 10.9678515206
Br 2.9678515206 2.9678515206 8.0000000000
Cs 0.0000000000 0.0000000000 13.9357030413
Pb 2.9678515206 2.9678515206 16.9035545619
Br 0.0000000000 2.9678515206 16.9035545619
Br 2.9678515206 0.0000000000 16.9035545619
Br 2.9678515206 2.9678515206 13.9357030413
Cs 0.0000000000 0.0000000000 19.8714060826
Pb 2.9678515206 2.9678515206 22.8392576032
Br 0.0000000000 2.9678515206 22.8392576032
Br 2.9678515206 0.0000000000 22.8392576032
Br 2.9678515206 2.9678515206 19.8714060826
Cs 0.0000000000 0.0000000000 25.8071091239
Br 2.9678515206 2.9678515206 25.8071091239
Cs 0.0000000000 5.9357030413 8.0000000000
Pb 2.9678515206 8.9035545619 10.9678515206
Br 0.0000000000 8.9035545619 10.9678515206
Br 2.9678515206 5.9357030413 10.9678515206
Br 2.9678515206 8.9035545619 8.0000000000
Cs 0.0000000000 5.9357030413 13.9357030413
Pb 2.9678515206 8.9035545619 16.9035545619
Br 0.0000000000 8.9035545619 16.9035545619
Br 2.9678515206 5.9357030413 16.9035545619
Br 2.9678515206 8.9035545619 13.9357030413
Cs 0.0000000000 5.9357030413 19.8714060826
Pb 2.9678515206 8.9035545619 22.8392576032
Br 0.0000000000 8.9035545619 22.8392576032
Br 2.9678515206 5.9357030413 22.8392576032
Br 2.9678515206 8.9035545619 19.8714060826
Cs 0.0000000000 5.9357030413 25.8071091239
Br 2.9678515206 8.9035545619 25.8071091239
Cs 5.9357030413 0.0000000000 8.0000000000
Pb 8.9035545619 2.9678515206 10.9678515206
Br 5.9357030413 2.9678515206 10.9678515206
Br 8.9035545619 0.0000000000 10.9678515206
Br 8.9035545619 2.9678515206 8.0000000000
Cs 5.9357030413 0.0000000000 13.9357030413
Pb 8.9035545619 2.9678515206 16.9035545619
Br 5.9357030413 2.9678515206 16.9035545619
Br 8.9035545619 0.0000000000 16.9035545619
Br 8.9035545619 2.9678515206 13.9357030413
Cs 5.9357030413 0.0000000000 19.8714060826
Pb 8.9035545619 2.9678515206 22.8392576032
Br 5.9357030413 2.9678515206 22.8392576032
Br 8.9035545619 0.0000000000 22.8392576032
Br 8.9035545619 2.9678515206 19.8714060826
Cs 5.9357030413 0.0000000000 25.8071091239
Br 8.9035545619 2.9678515206 25.8071091239
Cs 5.9357030413 5.9357030413 8.0000000000
Pb 8.9035545619 8.9035545619 10.9678515206
Br 5.9357030413 8.9035545619 10.9678515206
Br 8.9035545619 5.9357030413 10.9678515206
Br 8.9035545619 8.9035545619 8.0000000000
Cs 5.9357030413 5.9357030413 13.9357030413
Pb 8.9035545619 8.9035545619 16.9035545619
Br 5.9357030413 8.9035545619 16.9035545619
Br 8.9035545619 5.9357030413 16.9035545619
Br 8.9035545619 8.9035545619 13.9357030413
Cs 5.9357030413 5.9357030413 19.8714060826
Pb 8.9035545619 8.9035545619 22.8392576032
Br 5.9357030413 8.9035545619 22.8392576032
Br 8.9035545619 5.9357030413 22.8392576032
Br 8.9035545619 8.9035545619 19.8714060826
Cs 5.9357030413 5.9357030413 25.8071091239
Br 8.9035545619 8.9035545619 25.8071091239
